vote_republican_0,vote_republican_1,vote_republican_2,vote_republican_3,vote_republican_4,stability,stability_score,consistency_level
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
yes,no,yes,yes,yes,"[2,0,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,no,yes,yes,yes,"[2,0,2,2,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,yes,no,no,yes,"[0,2,0,0,2]",0.40,low
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,yes,no,no,yes,"[0,2,0,0,2]",0.40,low
no,yes,no,no,yes,"[0,2,0,0,2]",0.40,low
no,yes,no,no,yes,"[0,2,0,0,2]",0.40,low
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,unknown,no,no,yes,"[0,1,0,0,2]",0.30,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,unknown,no,no,yes,"[0,1,0,0,2]",0.30,low
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,unknown,no,no,yes,"[0,1,0,0,2]",0.30,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,unknown,no,no,yes,"[0,1,0,0,2]",0.30,low
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,unknown,no,no,yes,"[0,1,0,0,2]",0.30,low
no,yes,no,no,yes,"[0,2,0,0,2]",0.40,low
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,no,yes,yes,yes,"[2,0,2,2,2]",0.60,medium
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
yes,no,yes,yes,yes,"[2,0,2,2,2]",0.60,medium
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
no,no,no,no,no,"[0,0,0,0,0]",1.00,high
no,no,no,no,yes,"[0,0,0,0,2]",0.60,medium
no,yes,no,no,yes,"[0,2,0,0,2]",0.40,low
